工号,日期,打卡状态
7323,2026-08-27,正常
007312,2026-08-11,正常
7348,2026-08-05,正常
7326,2026-08-06,正常
7331,2026-08-14,正常
7327,2026-08-18,正常
007346,2026-08-18,事假
7364,2026-08-14,正常
007313,2026-08-17,正常
007302,2026-08-12,缺勤
007401,2026-08-12,正常
7374,2026-08-19,迟到
7382,2026-08-21,病假
7356,2026-08-21,病假
7340,2026-08-28,正常
7385,2026-08-07,正常
007383,2026-08-07,正常
007302,2026-08-20,病假
007304,2026-08-13,正常
007340,2026-08-13,年假
7372,2026-08-14,正常
007317,2026-08-25,正常
7401,2026-08-26,正常
007331,2026-08-13,正常
007409,2026-08-14,调休
7347,2026-08-20,正常
007319,2026-08-25,正常
007344,2026-08-28,年假
007397,2026-08-06,正常
7303,2026-08-20,正常
007406,2026-08-27,正常
007346,2026-08-13,正常
7395,2026-08-28,正常
007359,2026-08-24,正常
007374,2026-08-11,正常
007319,2026-08-21,正常
007363,2026-08-07,病假
007317,2026-08-11,正常
007302,2026-08-12,正常
7348,2026-08-10,事假
7327,2026-08-12,正常
007348,2026-08-20,正常
007327,2026-08-28,正常
7372,2026-08-19,正常
7312,2026-08-18,正常
007317,2026-08-03,正常
007348,2026-08-13,正常
007323,2026-08-25,正常
007356,2026-08-24,正常
7381,2026-08-14,正常
007381,2026-08-17,正常
7406,2026-08-13,年休假
7302,2026-08-07,正常
007409,2026-08-24,正常
007382,2026-08-20,年休假
7304,2026-08-27,正常
7338,2026-08-10,正常
7383,2026-08-06,正常
7372,2026-08-26,正常
007327,2026-08-13,迟到
007344,2026-08-19,正常
007304,2026-08-28,正常
007338,2026-08-24,正常
7308,2026-08-05,正常
007308,2026-08-14,正常
007338,2026-08-11,正常
007382,2026-08-24,正常
7312,2026-08-27,正常
007364,2026-08-04,正常
007406,2026-08-07,正常
007383,2026-08-27,迟到
7317,2026-08-26,正常
007397,2026-08-14,迟到
7340,2026-08-14,病假
7395,2026-08-19,正常
007323,2026-08-26,正常
007359,2026-08-13,病假
007313,2026-08-13,正常
7326,2026-08-14,正常
7381,2026-08-24,正常
007340,2026-08-17,正常
007381,2026-08-26,正常
7372,2026-08-12,正常
007406,2026-08-10,正常
007327,2026-08-24,正常
7346,2026-08-27,正常
007312,2026-08-14,正常
7359,2026-08-05,正常
7313,2026-08-26,正常
7344,2026-08-25,正常
007348,2026-08-19,正常
7304,2026-08-25,正常
007347,2026-08-27,正常
7327,2026-08-11,正常
007303,2026-08-31,正常
7372,2026-08-03,正常
007381,2026-08-20,正常
7347,2026-08-31,迟到
7331,2026-08-05,正常
007382,2026-08-12,正常
7319,2026-08-18,正常
7317,2026-08-06,正常
7363,2026-08-17,正常
007344,2026-08-20,正常
007388,2026-08-07,病假
007374,2026-08-26,迟到
007372,2026-08-06,正常
7323,2026-08-04,正常
7323,2026-08-14,正常
7331,2026-08-24,正常
007383,2026-08-04,正常
007375,2026-08-11,病假
007375,2026-08-12,正常
007326,2026-08-04,正常
007309,2026-08-27,事假
7379,2026-08-25,正常
007340,2026-08-06,正常
7338,2026-08-13,年假
007326,2026-08-25,正常
007338,2026-08-26,正常
007302,2026-08-25,正常
007350,2026-08-19,正常
7381,2026-08-25,正常
7398,2026-08-28,正常
7374,2026-08-21,年假
7383,2026-08-12,正常
007397,2026-08-12,正常
007372,2026-08-21,病假
7338,2026-08-14,正常
007350,2026-08-25,病假
007319,2026-08-05,年假
007302,2026-08-18,年休假
7356,2026-08-28,正常
007346,2026-08-24,正常
007383,2026-08-05,正常
007406,2026-08-18,正常
007409,2026-08-11,正常
7383,2026-08-13,年休假
7397,2026-08-18,正常
7374,2026-08-31,正常
007388,2026-08-18,正常
7385,2026-08-17,正常
007372,2026-08-04,正常
007323,2026-08-21,正常
7334,2026-08-06,正常
007391,2026-08-11,正常
007374,2026-08-14,迟到
7409,2026-08-18,正常
007350,2026-08-12,正常
7375,2026-08-13,正常
7402,2026-08-31,正常
007385,2026-08-05,正常
007381,2026-08-13,正常
007302,2026-08-04,正常
7395,2026-08-05,正常
007381,2026-08-31,正常
007301,2026-08-11,年休假
007308,2026-08-06,事假
7398,2026-08-10,正常
007334,2026-08-04,正常
7308,2026-08-13,正常
007388,2026-08-13,迟到
7317,2026-08-10,正常
