员工工号,所属部门,月份,业绩额
7303,技术中心,2026-08,190000
7395,市场部,2026-08,330000
7398,产品部,2026-08,200000
7309,技术中心,2026-08,230000
7382,产品部,2026-08,370000
7385,技术中心,2026-08,240000
7363,技术中心,2026-08,430000
7344,技术中心,2026-08,200000
7323,技术中心,2026-08,380000
7381,产品部,2026-08,280000
7338,技术中心,2026-08,330000
7319,技术中心,2026-08,180000
7326,技术中心,2026-08,59.0
7312,技术中心,2026-08,320000
7401,市场部,2026-08,380000
7364,技术中心,2026-08,220000
7359,市场部,2026-08,360000
7372,市场部,2026-08,42.0
7340,技术中心,2026-08,450000
7348,市场部,2026-08,480000
7334,产品部,2026-08,180000
7406,产品部,2026-08,37.0
7317,技术中心,2026-08,500000
7375,产品部,2026-08,290000
7356,技术中心,2026-08,440000
7350,技术中心,2026-08,450000
7374,技术中心,2026-08,450000
7347,产品部,2026-08,24.0
7383,产品部,2026-08,200000
